City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
0,Bubaque,GW,11.2833,-15.8333,76.5,71,4,clear sky
1,Vaini,TO,-21.2,-175.2,80.6,74,20,few clouds
2,Albany,US,42.6001,-73.9662,64.0,63,100,overcast clouds
3,Anloga,GH,5.7947,0.8973,80.6,83,20,few clouds
4,Tilichiki,RU,60.4667,166.1,13.39,78,100,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,78.57,75,14,few clouds
6,Nuevitas,CU,21.5453,-77.2644,73.4,83,20,few clouds
7,Touros,BR,-5.1989,-35.4608,75.2,100,75,broken clouds
8,Jamestown,US,42.097,-79.2353,61.0,72,1,clear sky
9,Mugur-Aksy,RU,50.35,90.5,21.6,58,3,clear sky
10,Coquimbo,CL,-29.9533,-71.3436,55.4,82,0,clear sky
11,Zhangjiakou,CN,40.81,114.8794,55.65,44,100,light rain
12,Ushuaia,AR,-54.8,-68.3,46.4,66,40,scattered clouds
13,Labuan,MY,5.2767,115.2417,84.2,89,20,few clouds
14,Yellowknife,CA,62.456,-114.3525,8.6,47,1,clear sky
15,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,clear sky
16,Hastings,GB,50.8552,0.5729,36.0,82,58,broken clouds
17,Port Hedland,AU,-20.3167,118.5667,91.4,55,70,broken clouds
18,Pandan,PH,14.0453,124.1694,82.85,68,28,scattered clouds
19,Hasaki,JP,35.7333,140.8333,64.0,54,75,broken clouds
20,Ponta Do Sol,PT,32.6667,-17.1,59.0,71,96,overcast clouds
21,Kununurra,AU,-15.7667,128.7333,95.0,26,67,broken clouds
22,Dalnerechensk,RU,45.9339,133.7225,59.29,34,97,overcast clouds
23,Aksarka,RU,66.5606,67.7975,29.86,90,13,few clouds
24,Omboue,GA,-1.5746,9.2618,76.93,91,100,overcast clouds
25,Butaritari,KI,3.0707,172.7902,82.15,75,100,overcast clouds
26,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,clear sky
27,Bethel,US,41.3712,-73.414,57.0,91,100,overcast clouds
28,Ovre Ardal,NO,61.3167,7.8,10.69,99,92,overcast clouds
29,Glenwood Springs,US,39.5505,-107.3248,48.99,40,36,scattered clouds
30,Yarada,IN,17.65,83.2667,84.2,74,20,haze
31,Upernavik,GL,72.7868,-56.1549,11.93,87,50,scattered clouds
32,Longyearbyen,SJ,78.2186,15.6401,19.4,63,40,scattered clouds
33,Trenggalek,ID,-8.05,111.7167,85.6,67,61,light rain
34,Atuona,PF,-9.8,-139.0333,80.87,74,59,broken clouds
35,Erdenet,MN,49.0333,104.0833,24.35,49,100,overcast clouds
36,Carnarvon,AU,-24.8667,113.6333,86.0,70,75,light rain
37,Iwakuni,JP,34.15,132.1833,57.2,44,20,few clouds
38,Sao Filipe,CV,14.8961,-24.4956,75.11,62,3,clear sky
39,New Norfolk,AU,-42.7826,147.0587,51.01,78,99,light rain
40,Bluff,NZ,-46.6,168.3333,57.99,87,100,overcast clouds
