City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2021-04-05 02:17:27,19.7297,-155.09,75.2,73,90,5.75
1,Padang,ID,2021-04-05 02:17:36,-0.9492,100.3543,80.6,89,40,5.75
2,Cidreira,BR,2021-04-05 02:17:37,-30.1811,-50.2056,72.63,76,4,18.63
3,Comodoro Rivadavia,AR,2021-04-05 02:15:02,-45.8667,-67.5,66.2,52,0,2.3
4,Ushuaia,AR,2021-04-05 02:17:26,-54.8,-68.3,39.2,75,40,19.57
5,Pokhara,NP,2021-04-05 02:13:16,28.2333,83.9833,76.75,9,0,0.18
6,Rikitea,PF,2021-04-05 02:17:38,-23.1203,-134.9692,78.12,65,14,17.67
7,Baruun-Urt,MN,2021-04-05 02:17:38,46.6806,113.2792,44.6,35,0,8.86
8,Margate,GB,2021-04-05 02:17:39,51.3813,1.3862,46.99,70,58,5.01
9,Samarai,PG,2021-04-05 02:15:03,-10.6167,150.6667,85.12,71,93,11.16
10,Tavda,RU,2021-04-05 02:17:40,58.0425,65.2726,33.46,98,100,5.5
11,Bluff,NZ,2021-04-05 02:17:40,-46.6,168.3333,57.0,58,100,25.99
12,Caravelas,BR,2021-04-05 02:17:40,-17.7125,-39.2481,76.39,78,9,7.0
13,Cape Town,ZA,2021-04-05 02:13:49,-33.9258,18.4232,64.0,94,0,11.5
14,Kapaa,US,2021-04-05 02:14:01,22.0752,-159.319,75.2,60,90,16.11
15,Chokurdakh,RU,2021-04-05 02:14:32,70.6333,147.9167,-8.27,85,6,4.21
16,Tuktoyaktuk,CA,2021-04-05 02:13:47,69.4541,-133.0374,8.6,92,90,20.71
17,Viedma,AR,2021-04-05 02:17:42,-40.8135,-62.9967,75.58,48,2,18.86
18,Prundeni,RO,2021-04-05 02:17:42,44.7333,24.2667,41.0,87,90,5.75
19,Mathathane,BW,2021-04-05 02:17:42,-22.2687,28.7495,64.0,82,0,3.51
20,Tasiilaq,GL,2021-04-05 02:17:43,65.6145,-37.6368,21.2,73,90,14.97
21,Port Alfred,ZA,2021-04-05 02:17:43,-33.5906,26.891,68.09,83,100,11.92
22,Te Anau,NZ,2021-04-05 02:14:07,-45.4167,167.7167,57.45,67,87,7.65
23,Albany,US,2021-04-05 02:17:44,42.6001,-73.9662,48.99,53,27,1.01
24,Bathsheba,BB,2021-04-05 02:17:44,13.2167,-59.5167,78.8,78,40,13.8
25,Vaini,TO,2021-04-05 02:17:45,-21.2,-175.2,80.6,74,20,11.5
26,Takoradi,GH,2021-04-05 02:17:45,4.8845,-1.7554,79.11,89,54,6.15
27,Kodiak,US,2021-04-05 02:13:12,57.79,-152.4072,46.4,46,20,16.11
28,Tuatapere,NZ,2021-04-05 02:17:46,-46.1333,167.6833,57.0,58,93,25.99
29,Namatanai,PG,2021-04-05 02:17:46,-3.6667,152.4333,84.18,70,82,1.12
30,Hasaki,JP,2021-04-05 02:17:47,35.7333,140.8333,55.4,94,75,18.41
31,Chadiza,ZM,2021-04-05 02:17:47,-14.0678,32.4392,60.57,96,11,3.47
32,Puerto Ayora,EC,2021-04-05 02:17:31,-0.7393,-90.3518,77.0,94,31,2.66
33,Liku,ID,2021-04-05 02:17:47,-0.7275,119.8922,87.62,56,36,2.82
34,Buala,SB,2021-04-05 02:13:49,-8.145,159.5921,85.17,72,98,3.24
35,Mananjary,MG,2021-04-05 02:17:48,-21.2167,48.3333,74.52,93,20,7.38
36,Punta Arenas,CL,2021-04-05 02:17:23,-53.15,-70.9167,39.2,75,0,6.91
37,Nanortalik,GL,2021-04-05 02:17:48,60.1432,-45.2371,33.55,89,71,5.46
38,Ballarat,AU,2021-04-05 02:17:49,-37.5662,143.8496,64.99,60,0,7.27
39,Mezhdurechensk,RU,2021-04-05 02:17:49,53.6942,88.0603,36.55,68,6,3.0
40,La Ronge,CA,2021-04-05 02:17:50,55.1001,-105.2842,41.0,52,100,6.91
41,Atuona,PF,2021-04-05 02:17:50,-9.8,-139.0333,80.13,79,76,8.55
42,Adrar,MR,2021-04-05 02:17:50,20.5022,-10.0711,75.34,12,4,10.71
43,Colares,PT,2021-04-05 02:17:51,38.7992,-9.4469,57.99,72,0,9.01
44,Saldanha,ZA,2021-04-05 02:17:51,-33.0117,17.9442,60.8,88,13,3.44
45,Barrow,US,2021-04-05 02:17:52,71.2906,-156.7887,-0.4,65,1,12.66
46,Ust-Kuyga,RU,2021-04-05 02:17:52,70.0167,135.6,-4.77,90,100,5.23
47,Bredasdorp,ZA,2021-04-05 02:17:30,-34.5322,20.0403,62.6,94,100,3.44
48,Nicoya,CR,2021-04-05 02:17:53,10.1483,-85.452,82.4,51,0,18.41
49,Carnarvon,AU,2021-04-05 02:17:53,-24.8667,113.6333,82.4,65,88,19.57
